movieId,covariance,target_item,abs_cov,peer_group
4624,2.394095,100157,2.394095,Top-5
8225,2.301845,100157,2.301845,Top-5
39052,2.1765535,100157,2.1765535,Top-5
8827,-2.0915632,100157,2.0915632,Top-5
3529,-2.0738714,100157,2.0738714,Top-5
4624,2.394095,100157,2.394095,Top-10
8225,2.301845,100157,2.301845,Top-10
39052,2.1765535,100157,2.1765535,Top-10
8827,-2.0915632,100157,2.0915632,Top-10
3529,-2.0738714,100157,2.0738714,Top-10
6571,-1.9802237,100157,1.9802237,Top-10
21,-1.864553,100157,1.864553,Top-10
76210,1.7871015,100157,1.7871015,Top-10
3740,-1.773266,100157,1.773266,Top-10
51037,1.7402369,100157,1.7402369,Top-10
6371,5.1097436,2588,5.1097436,Top-5
3574,5.016786,2588,5.016786,Top-5
61348,4.997481,2588,4.997481,Top-5
31698,4.996431,2588,4.996431,Top-5
5739,4.984674,2588,4.984674,Top-5
6371,5.1097436,2588,5.1097436,Top-10
3574,5.016786,2588,5.016786,Top-10
61348,4.997481,2588,4.997481,Top-10
31698,4.996431,2588,4.996431,Top-10
5739,4.984674,2588,4.984674,Top-10
44555,-4.97972,2588,4.97972,Top-10
5672,4.911017,2588,4.911017,Top-10
26587,-4.898839,2588,4.898839,Top-10
6872,4.8575683,2588,4.8575683,Top-10
5737,4.8305397,2588,4.8305397,Top-10
