movieId,cov_with_2588,cov_with_100157
1,0.66141593,-0.15479013
2,0.96979314,-0.020608872
3,-0.21701348,0.0
4,0.8102323,0.0
5,0.14513609,0.017942118
6,0.38835645,0.09303619
7,0.0,0.029670198
8,0.88162535,0.0
9,-0.33497468,0.0
10,-0.14334309,0.04092432
11,0.3333333,0.1017937
12,1.3168616,0.30671883
13,1.1063199,-0.060536943
14,-0.09465298,0.0
15,-0.07399772,0.0
16,0.3333333,-1.2909403
17,0.46333528,-0.14518587
18,0.542123,0.0
19,0.13086252,-0.2331275
20,0.2064152,0.0
21,-0.111111045,-1.864553
22,0.31020015,0.0
23,0.11725485,0.0
24,1.416792,0.062971346
25,-2.9802322e-08,-0.51433563
26,-0.20961884,0.0
27,-0.5513601,0.0
29,0.12703441,-0.114384435
31,0.111111104,0.34731779
32,0.78770417,0.030292606
34,0.2300797,-0.23550242
35,0.33444965,0.110739075
36,0.0,0.012729545
37,1.9764705,0.0
38,0.18961366,0.0
39,0.19545591,0.09995857
40,-0.21557556,-0.36593947
41,0.56806713,-0.30046695
42,0.22222225,0.0
43,0.31230405,0.0
44,1.0085279,-0.037392467
45,-0.26927313,0.20237808
46,0.8499221,-0.28330746
47,0.4087827,-0.3222444
48,2.7385147,0.012392004
49,-0.19491518,0.09227878
50,-1.667359,0.17149822
51,0.1481481,0.0
52,0.0,-0.7519405
54,0.7878312,0.0
56,2.2738092,0.0
57,-0.10817271,0.0
58,-0.014402391,-0.34345055
59,-0.2931937,0.0
60,1.2379612,0.0
61,-0.10770128,0.0
62,0.33333328,-0.4114275
63,-0.02220797,0.018506639
64,0.056727394,0.0
65,0.5352589,-0.08760515
66,1.3002014,0.0
68,0.0,-0.09711011
69,0.0,-0.122045964
70,-0.629414,0.0
71,-2.4736164,0.0
72,-0.16747963,0.24945799
73,0.3333334,0.0
75,-1.5519712,0.0
76,1.2131985,0.14139542
77,0.0,-0.3104575
79,0.5214243,0.0
80,-0.96579707,0.062318817
81,-0.08912434,0.0
82,0.0,-0.20248346
84,0.27848104,0.0
85,0.35408995,-0.38359743
86,3.973643e-08,0.003688231
87,1.5336406,0.0
88,0.13079083,0.0
89,0.12005955,0.0
90,-0.11915888,0.0
92,0.71529895,0.0
93,0.49042037,0.0
94,0.49102548,0.0
95,0.3017854,0.30406755
97,0.0,-0.0009905626
100,0.3702309,0.0
101,0.07123469,0.005823076
103,1.1090026,0.0
104,-0.13902685,-0.037129052
105,0.054383263,0.0
107,0.41199645,-0.047853068
110,0.3191553,-0.04048526
111,0.22222216,0.25311613
112,0.19580877,0.0
114,0.0,0.084570445
117,-2.3244987,0.0
118,-0.0036678305,0.2197771
119,0.07575756,0.0
122,0.04411005,0.0
123,0.0,-0.28483355
125,0.0,0.09595886
126,2.0732193,0.0
132,0.24226716,0.0
135,-0.16600582,0.0
141,0.1625946,-0.29160362
144,0.507621,-0.10031456
145,0.24974245,0.0069658756
146,2.1172411,0.24176255
147,0.09715471,-0.1620146
149,0.101894274,0.0
150,0.21046734,-0.044873595
151,0.2565063,0.10243612
152,0.5796211,0.0
153,1.0701817,-0.0029242327
154,0.0,-0.05500182
157,-0.26155615,0.047851425
158,1.5566666,0.53666645
159,0.40282482,0.0
160,1.1627128,0.4457622
161,0.33333334,0.20672268
162,-1.3465664,0.42835003
163,0.3515349,-0.04342113
164,0.1788049,0.008092196
165,0.1703251,-0.65171087
166,2.9794874,0.8755557
168,-0.028232872,0.092289224
169,1.0969574,0.07879188
170,0.10080423,-0.16117823
171,0.46566212,-0.0335008
172,0.30616114,-0.0074275658
173,1.7180961,0.0
174,-1.3799827,0.0
175,0.49746564,-0.366602
176,0.0,-0.6172358
177,0.85383654,0.13646407
179,-0.083536774,0.0
180,0.47091258,0.016312763
181,2.059165,0.25805598
184,-2.138211,0.0
185,1.0374928,0.103101574
186,0.036089808,-0.030074837
187,0.0,0.1913957
188,1.214605,0.0
189,-0.0019842782,0.0
190,0.0,-0.014699095
193,0.25531438,0.3427934
194,-0.19172138,-0.29012275
195,0.18157525,0.14678872
196,1.1247737,0.0
197,-0.022727245,0.0
198,-0.3059838,0.115859665
199,-0.7524187,0.2980798
200,0.3879055,0.0
203,0.76496595,0.0
204,0.18362327,0.0
205,-0.1719557,-0.0035260536
206,0.0,0.7378774
207,1.0619228,0.38098228
208,0.8763795,-0.2772873
210,0.03699858,0.0
212,-0.19276655,0.09371121
214,1.3648267,0.15201099
215,0.38702932,-0.13641907
216,0.24659716,0.06278356
217,0.25657457,0.0
218,-0.43114397,0.15701513
219,-0.20826748,0.0
220,3.464242,-0.02727269
222,0.42286646,0.10284487
223,0.043483168,-0.16738954
224,0.9630581,0.012314008
225,0.07056545,0.0
227,-0.02291663,0.0
229,1.0418727,0.0
230,-0.11111113,-0.13136865
231,0.18250993,-0.14020911
232,0.023739817,0.0009891549
233,1.0158138,-0.24731252
235,-0.33333328,0.21162301
236,-0.10511666,0.04103334
237,0.25848636,0.061792802
238,0.8591127,0.0
239,0.78770715,-0.34550047
241,2.623962,0.0
242,0.25774482,0.24741852
243,1.9589976,0.0
244,1.5160818,0.0
246,-0.6380689,-0.12064377
247,-1.2801502,0.0990841
248,-0.17520821,0.0
249,-0.2273737,0.0
250,0.34547836,0.0
251,-0.016752558,0.0
252,0.25909927,0.25618616
253,0.3344517,0.008886416
254,1.2623214,0.0
256,0.7162342,0.270228
257,-0.13762788,0.0
258,0.79766077,0.078492574
259,0.30811614,0.0
260,0.42066753,-0.23510137
261,0.10481971,-0.18587828
262,-0.14756411,0.0
265,-1.3333333,-0.854542
266,0.88888884,-0.13992807
267,-0.29280934,0.0
269,0.0,0.3773612
272,-0.27661318,-0.27078497
273,0.7988654,0.0
276,0.0045796223,0.0
280,0.3333333,0.06095439
281,-0.2196816,0.07322723
282,1.6139807,1.1051992
285,2.224806,0.0
286,3.944954,0.0
288,-0.076782465,-0.20887928
289,-0.11534044,0.13461167
290,-1.1721509,-0.11006657
291,-2.3689024,0.0
292,0.36187735,0.2219667
293,-0.016857779,-0.015390351
295,-0.26581377,0.0
296,-0.4444444,-0.40582812
299,0.09037826,0.006357342
300,-0.44444442,-0.18982022
302,-2.0833335,0.0
303,0.65327555,0.0
306,-0.15173984,0.16376701
307,0.0,0.13699566
308,-0.13774979,0.11479148
311,1.616255,0.0
313,0.98010784,0.0
314,1.5345942,-0.41483128
315,0.1993162,0.0
316,1.1214792,0.11400628
317,0.87826717,0.04161203
318,0.46338737,-0.08694709
319,0.0,0.079019636
324,-2.189055,-0.08706467
325,-0.3820784,0.0
326,0.0,-0.018004531
327,0.32806033,-0.102215976
328,1.2057751,0.042519353
329,1.0586433,0.092489675
330,1.326443,0.0
332,1.4613109,0.0
333,-0.11615886,0.0
334,0.0,0.08869214
336,0.38305074,0.0
337,-0.3740282,0.12096095
338,1.0877222,-0.00014629576
339,-0.00011484325,-0.02086687
341,0.0,-0.24305567
342,0.0,0.17139651
343,-0.038454663,0.0
344,0.005886078,-0.09771278
345,0.27493054,0.277662
347,0.27475137,0.0
348,0.0,-0.26145777
349,0.11323029,0.0
350,0.41123492,-0.04831332
351,0.0,0.1545012
352,-0.41995522,-0.18768103
353,0.32427582,0.014266234
355,1.472088,0.26204145
356,0.33333334,-0.20949316
357,-0.21703549,-0.12802371
358,0.58351654,0.06929163
360,0.0,0.28140056
361,0.44444445,0.1470949
362,0.6690261,-0.08825974
363,-4.658372,-0.7177295
364,0.49030328,-0.24049771
365,0.7846576,0.04916282
366,2.7250125,0.33506668
367,0.9946325,0.02945066
368,-0.3849359,0.25298247
369,0.21011911,0.0
370,-0.65183586,0.48022577
371,0.83909124,0.0
372,-0.12465662,0.1106534
374,1.4793553,0.11799258
376,0.07279672,0.2707535
377,0.115642466,-0.09656138
378,-0.042342734,0.0
379,1.0636805,0.17253715
380,0.169617,-0.028023649
381,0.19857863,0.0
382,1.4703203,0.0
383,0.10155883,0.0
390,-0.9490172,0.1196082
391,0.28064007,0.0
392,0.739394,0.0
393,1.421852,0.0
395,1.230769,0.0
396,0.0,0.0
397,1.7536232,0.0
405,2.3277214,0.0
407,2.4733331,0.1900001
408,0.25383428,0.0
409,0.32559928,0.0
410,1.1732686,-0.1933441
412,-0.28784198,0.0
413,0.40057322,0.0
415,-0.2732359,0.0
416,-0.40182257,0.0
417,0.0,-0.011705215
419,0.0,-0.10954555
420,0.08337798,0.4860737
421,1.5888633,0.0
422,0.5862841,0.0
423,0.66399,0.0
424,0.095238104,0.0
426,1.7754307,0.0
427,0.15296933,0.0
428,0.06014091,-0.050117422
430,-0.10912694,0.0
431,0.055555593,0.19307196
432,0.17635281,0.16989547
434,0.14755411,0.15481591
435,0.9376273,-0.051494014
436,0.1308851,0.0
440,0.13200669,0.1921338
441,0.43824923,-0.044864155
442,0.8803189,0.0012115855
444,0.0,0.1283039
