movieId,n_i,popularity_pct
1,49695,99.96
2,22243,99.53
3,12735,98.77
4,2756,93.85
5,12161,98.66
6,23899,99.61
7,12961,98.81
8,1415,90.5
9,3960,95.36
10,29005,99.75
11,18162,99.3
12,3845,95.24
13,1461,90.69
14,6022,96.9
15,2910,94.09
16,17394,99.26
17,20667,99.45
18,5203,96.4
19,20938,99.47
20,4084,95.49
21,24116,99.61
22,9928,98.26
23,4250,95.63
24,7971,97.68
25,21553,99.49
26,2755,93.84
27,1642,91.34
28,3154,94.4
29,8520,97.89
30,1281,89.88
31,9435,98.16
32,44980,99.93
34,32255,99.81
35,1493,90.8
36,20809,99.46
37,85,66.34
38,552,83.93
39,26254,99.68
40,886,87.32
41,4689,95.99
42,2467,93.35
43,2552,93.5
44,10697,98.42
45,8933,98.02
46,3205,94.47
47,43249,99.91
48,13046,98.81
49,236,76.41
50,47006,99.95
52,9320,98.15
53,150,72.06
54,956,87.91
55,939,87.8
57,2439,93.3
58,11549,98.56
59,191,74.36
60,6313,97.04
61,2281,92.99
62,19381,99.36
63,2334,93.11
64,2086,92.6
65,4864,96.13
66,2371,93.18
67,170,73.32
68,1238,89.66
69,4288,95.66
70,12712,98.77
71,1295,89.95
72,1230,89.59
73,2955,94.18
74,3514,94.88
75,558,84.0
76,3380,94.69
77,221,75.77
78,1226,89.56
79,5535,96.64
80,575,84.19
81,3209,94.48
82,2538,93.47
83,594,84.46
84,158,72.61
85,2714,93.76
86,4308,95.68
87,976,88.03
88,4864,96.13
89,3247,94.52
90,214,75.42
92,2303,93.02
93,1966,92.29
94,4030,95.43
95,22104,99.53
96,483,82.95
97,1963,92.28
99,726,85.98
100,4115,95.51
101,4298,95.67
102,1992,92.36
103,1133,89.06
104,17915,99.29
105,9620,98.2
106,134,70.91
107,6376,97.07
108,125,70.14
110,53769,99.98
111,24481,99.63
112,11890,98.62
113,1089,88.82
114,247,76.89
116,949,87.86
117,1264,89.79
118,1136,89.08
119,264,77.46
120,147,71.83
121,837,86.97
122,3888,95.3
123,2309,93.04
124,319,79.25
125,3518,94.88
126,1376,90.33
129,190,74.29
131,194,74.5
132,2123,92.68
135,6305,97.03
136,102,68.24
137,226,75.99
138,137,71.13
140,5073,96.31
141,22020,99.52
144,4505,95.82
145,11975,98.63
146,580,84.26
147,4118,95.51
148,357,80.3
149,1091,88.84
150,47777,99.96
151,12616,98.75
152,651,85.24
153,32867,99.83
154,3010,94.23
155,1276,89.84
156,1663,91.41
157,2596,93.58
158,12625,98.75
159,2366,93.16
160,14965,99.05
161,23628,99.59
162,5995,96.9
163,14321,98.99
164,4435,95.78
165,33940,99.85
166,650,85.23
168,12084,98.65
169,3358,94.65
170,7875,97.63
171,1427,90.55
172,12706,98.76
173,14993,99.06
174,2124,92.69
175,4801,96.08
176,2363,93.15
177,2314,93.07
178,500,83.23
179,1229,89.58
180,8400,97.84
181,2655,93.7
182,697,85.71
183,614,84.76
184,328,79.52
185,24618,99.64
186,11222,98.5
187,943,87.83
188,2498,93.4
189,336,79.73
190,960,87.95
191,1664,91.41
193,7464,97.49
194,5937,96.84
195,3242,94.51
196,13628,98.89
197,110,68.99
198,9143,98.1
199,1516,90.9
200,339,79.8
201,365,80.51
202,389,81.06
203,5429,96.56
204,8335,97.82
205,1355,90.24
206,1038,88.46
207,5414,96.53
208,27775,99.73
209,745,86.17
210,482,82.93
211,579,84.25
212,447,82.26
213,1872,92.08
214,942,87.82
215,5348,96.49
216,8547,97.91
217,1014,88.27
218,4248,95.62
219,633,85.01
220,275,77.82
222,5968,96.87
223,23695,99.6
224,8581,97.93
