movieId,r_bar_i
1,3.92
2,3.22
3,3.16
4,2.87
5,3.07
6,3.84
7,3.37
8,3.14
9,3.01
10,3.43
11,3.67
12,2.63
13,3.28
14,3.43
15,2.73
16,3.79
17,3.97
18,3.38
19,2.63
20,2.88
21,3.58
22,3.32
23,3.15
24,3.21
25,3.69
26,3.63
27,3.42
28,4.06
29,3.95
30,3.63
31,3.25
32,3.9
33,3.02
34,3.65
35,3.5
36,3.94
37,3.03
38,2.87
39,3.42
40,3.65
41,3.85
42,3.06
43,3.47
44,2.68
45,3.39
46,3.28
47,4.05
48,2.96
49,3.59
50,4.34
51,2.57
52,3.54
53,3.7
54,2.86
55,3.24
56,1.9
57,3.33
58,3.98
59,3.56
60,3.12
61,3.32
62,3.73
63,3.08
64,2.83
65,2.42
66,2.17
67,3.35
68,3.44
69,3.56
70,3.28
71,2.37
72,3.5
73,3.81
74,3.3
75,2.47
76,3.01
77,3.43
78,3.18
79,3.13
80,3.73
81,3.27
82,4.01
83,3.65
84,3.42
85,3.53
86,3.48
87,2.38
88,3.11
89,3.14
90,3.36
92,2.86
93,2.54
94,3.53
95,3.1
96,3.69
97,4.0
98,2.49
99,3.11
100,3.22
101,3.79
102,2.43
103,3.27
104,3.42
105,3.34
106,3.45
107,3.22
108,3.09
109,2.16
110,4.04
111,4.11
112,3.41
113,3.11
114,3.62
115,3.45
116,3.94
117,3.59
118,3.01
119,2.77
120,2.88
121,3.75
122,2.87
123,3.97
124,3.5
125,3.76
126,2.34
127,3.27
128,3.5
129,3.17
130,3.14
131,3.29
132,2.78
133,2.66
134,3.65
135,3.01
136,3.55
137,3.29
138,3.28
139,3.09
140,3.29
141,3.51
142,3.07
143,2.21
144,3.48
145,3.26
146,2.91
147,3.59
148,2.89
149,3.7
150,3.87
151,3.54
152,3.11
153,2.9
154,3.8
155,3.41
156,3.53
157,2.79
158,2.94
159,3.42
160,2.61
161,3.74
162,4.01
163,3.45
164,3.46
165,3.49
166,2.8
167,3.16
168,3.09
169,2.32
170,3.2
171,3.6
172,2.74
173,2.55
174,2.47
175,3.51
176,3.86
177,2.89
178,3.39
179,2.75
180,3.59
181,1.98
182,3.09
183,3.37
184,3.11
185,3.11
186,2.9
187,3.45
188,3.34
189,3.0
190,3.57
191,2.68
192,3.03
193,2.27
194,3.85
195,3.09
196,2.86
197,3.07
198,3.42
199,3.78
200,2.84
201,3.03
202,2.99
203,3.15
204,2.96
205,3.52
206,3.48
207,3.37
208,2.86
209,2.84
210,2.89
211,3.6
212,2.59
213,4.04
214,4.05
215,3.84
216,3.27
217,2.73
218,3.29
219,3.63
220,2.41
222,3.54
223,3.87
224,3.45
225,3.29
226,2.84
227,3.07
228,2.69
229,3.56
230,3.59
231,2.97
232,4.04
233,3.53
234,2.69
235,3.67
236,3.32
237,3.23
238,3.17
239,3.06
240,2.91
241,3.04
242,3.39
243,2.54
244,2.39
245,2.98
246,4.04
247,3.84
248,3.03
249,3.68
250,2.99
251,3.06
252,3.23
253,3.5
254,2.9
255,2.3
256,2.75
257,3.41
258,2.65
259,3.08
260,4.19
261,3.63
262,3.78
263,3.73
264,3.35
265,3.93
266,3.5
267,2.89
268,3.31
269,3.48
270,3.17
271,3.33
272,3.75
273,3.14
274,2.88
275,2.73
276,2.99
277,3.43
278,3.02
279,3.7
280,3.73
281,3.67
282,3.43
283,3.08
284,2.89
285,2.35
286,2.08
287,3.24
288,3.24
289,3.35
290,4.0
291,2.29
292,3.42
293,4.05
294,3.18
295,2.8
296,4.18
297,3.11
298,3.5
299,3.73
300,3.67
301,3.53
302,3.75
303,3.04
304,3.2
305,2.71
306,4.09
307,4.0
308,3.91
309,3.64
310,2.77
311,2.67
312,2.63
313,3.03
314,3.85
315,2.91
316,3.36
317,3.15
318,4.45
319,3.79
320,3.25
321,3.76
322,3.7
324,3.69
325,2.65
326,4.09
327,2.82
328,3.16
329,3.33
330,2.81
331,3.29
332,2.77
333,3.35
334,3.82
335,3.27
336,2.85
337,3.76
338,3.0
339,3.5
340,3.38
341,3.59
342,3.52
343,2.66
344,2.99
345,3.65
346,3.43
347,3.41
348,3.7
349,3.66
350,3.47
351,3.31
352,3.26
353,3.52
354,3.16
355,2.46
356,4.03
357,3.65
358,3.25
359,3.29
360,2.74
361,3.34
362,3.4
363,4.0
364,3.78
365,3.18
366,2.96
367,3.18
368,3.41
369,3.32
370,2.97
371,3.26
372,3.25
373,3.78
374,2.44
375,3.27
376,3.28
377,3.5
378,3.13
379,2.74
380,3.49
381,3.41
382,3.04
383,3.2
384,2.98
385,3.57
386,2.82
387,2.67
388,3.56
389,3.49
390,3.43
391,3.16
392,3.31
393,1.91
394,3.34
395,3.12
396,2.52
397,2.22
398,3.38
399,2.25
400,2.55
401,3.26
402,2.92
403,1.96
404,3.3
405,2.47
406,3.09
407,3.15
408,3.25
409,3.03
410,3.0
411,2.77
412,3.57
413,2.81
414,2.63
415,2.82
416,2.71
417,3.52
418,2.71
419,2.51
420,2.76
421,3.31
422,3.24
423,3.01
424,2.72
425,3.48
426,3.12
427,2.55
428,3.82
429,2.37
430,2.34
431,3.7
432,2.75
433,2.93
434,3.06
435,2.61
436,2.62
437,2.62
438,2.72
439,2.57
440,3.6
441,3.69
442,3.05
443,3.35
444,2.43
445,2.89
446,3.9
447,2.51
448,3.56
449,3.48
450,3.36
451,3.07
452,3.56
453,3.11
454,3.5
455,2.64
456,3.84
457,3.99
458,3.16
459,2.77
460,2.44
461,3.35
462,2.62
463,2.8
464,2.93
465,3.27
466,2.93
467,3.39
468,3.32
469,3.27
470,2.16
471,3.67
472,2.89
473,2.33
474,3.73
475,3.93
476,3.02
477,3.55
478,2.43
479,2.92
480,3.67
481,3.34
482,3.43
483,3.79
484,2.81
485,2.79
486,2.69
487,2.63
488,3.41
489,2.77
490,3.36
491,3.42
492,3.65
493,3.61
494,3.36
495,3.45
496,3.29
497,3.9
498,2.81
499,2.76
500,3.39
501,3.83
502,2.31
503,3.1
504,2.97
505,2.55
506,3.49
507,3.51
508,3.82
509,3.69
510,2.75
511,3.15
512,2.92
513,2.94
514,3.46
515,3.91
516,3.09
517,3.13
518,2.7
519,2.22
520,3.05
521,3.33
522,3.56
523,3.65
524,3.54
525,3.38
526,3.18
