movieId,r_bar_i,percentile,group
1,3.92,92.09,G10
2,3.22,48.54,G7
3,3.16,44.94,G7
4,2.87,26.92,G5
5,3.07,40.31,G7
6,3.84,89.4,G10
7,3.37,59.14,G8
8,3.14,44.45,G7
9,3.01,38.17,G6
10,3.43,62.93,G9
11,3.67,81.03,G10
12,2.63,18.44,G4
13,3.28,53.02,G8
14,3.43,63.06,G9
15,2.73,21.1,G5
16,3.79,87.29,G10
17,3.97,92.93,G10
18,3.38,59.83,G8
19,2.63,18.42,G4
20,2.88,27.68,G5
21,3.58,75.51,G10
22,3.32,55.9,G8
23,3.15,44.64,G7
24,3.21,47.99,G7
25,3.69,82.03,G10
26,3.63,78.57,G10
27,3.42,61.88,G9
28,4.06,97.09,G10
29,3.95,92.7,G10
30,3.63,78.76,G10
31,3.25,52.0,G8
32,3.9,91.4,G10
33,3.02,38.57,G6
34,3.65,79.44,G10
35,3.5,71.76,G10
36,3.94,92.46,G10
37,3.03,38.75,G6
38,2.87,26.98,G5
39,3.42,62.17,G9
40,3.65,79.4,G10
41,3.85,89.96,G10
42,3.06,39.68,G6
43,3.47,64.95,G9
44,2.68,19.82,G4
45,3.39,60.23,G9
46,3.28,53.16,G8
47,4.05,97.03,G10
48,2.96,30.44,G6
49,3.59,75.88,G10
50,4.34,98.56,G10
51,2.57,17.12,G4
52,3.54,73.4,G10
53,3.7,82.29,G10
54,2.86,26.51,G5
55,3.24,49.72,G7
56,1.9,3.97,G2
57,3.33,56.06,G8
58,3.98,93.12,G10
59,3.56,74.36,G10
60,3.12,42.85,G7
61,3.32,55.95,G8
62,3.73,84.2,G10
63,3.08,40.58,G7
64,2.83,25.26,G5
65,2.42,11.33,G4
66,2.17,7.71,G3
67,3.35,58.08,G8
68,3.44,63.18,G9
69,3.56,74.64,G10
70,3.28,53.37,G8
71,2.37,10.39,G4
72,3.5,71.8,G10
73,3.81,88.24,G10
74,3.3,54.84,G8
75,2.47,12.09,G4
76,3.01,38.27,G6
77,3.43,62.83,G9
78,3.18,46.71,G7
79,3.13,43.73,G7
80,3.73,83.85,G10
81,3.27,52.6,G8
82,4.01,96.55,G10
83,3.65,79.77,G10
84,3.42,62.18,G9
85,3.53,72.9,G10
86,3.48,65.57,G9
87,2.38,10.71,G4
88,3.11,42.57,G7
89,3.14,44.15,G7
90,3.36,58.56,G8
92,2.86,26.65,G5
93,2.54,16.37,G4
94,3.53,72.71,G10
95,3.1,41.66,G7
96,3.69,81.91,G10
97,4.0,93.34,G10
98,2.49,12.32,G4
99,3.11,42.33,G7
100,3.22,48.72,G7
101,3.79,87.24,G10
102,2.43,11.53,G4
103,3.27,52.71,G8
104,3.42,62.38,G9
105,3.34,57.33,G8
106,3.45,63.82,G9
107,3.22,48.89,G7
108,3.09,41.43,G7
109,2.16,7.41,G3
110,4.04,96.93,G10
111,4.11,97.5,G10
112,3.41,61.86,G9
113,3.11,42.42,G7
114,3.62,77.74,G10
115,3.45,63.8,G9
116,3.94,92.42,G10
117,3.59,76.04,G10
118,3.01,38.32,G6
119,2.77,23.43,G5
120,2.88,27.64,G5
121,3.75,85.99,G10
122,2.87,27.02,G5
123,3.97,92.95,G10
124,3.5,68.96,G9
125,3.76,86.14,G10
126,2.34,10.05,G4
127,3.27,52.59,G8
128,3.5,68.96,G9
129,3.17,46.26,G7
130,3.14,44.15,G7
131,3.29,54.02,G8
132,2.78,23.49,G5
133,2.66,19.04,G4
134,3.65,79.67,G10
135,3.01,38.14,G6
136,3.55,74.01,G10
137,3.29,53.48,G8
138,3.28,53.45,G8
139,3.09,41.14,G7
140,3.29,54.06,G8
141,3.51,72.18,G10
142,3.07,40.5,G7
143,2.21,8.05,G3
144,3.48,65.36,G9
145,3.26,52.09,G8
146,2.91,28.77,G5
147,3.59,75.79,G10
148,2.89,27.9,G5
149,3.7,82.24,G10
150,3.87,90.51,G10
151,3.54,73.29,G10
152,3.11,42.41,G7
153,2.9,28.45,G5
154,3.8,88.02,G10
155,3.41,61.57,G9
156,3.53,72.72,G10
157,2.79,23.92,G5
158,2.94,29.98,G5
159,3.42,62.18,G9
160,2.61,17.92,G4
161,3.74,84.59,G10
162,4.01,96.6,G10
163,3.45,63.83,G9
164,3.46,64.71,G9
165,3.49,65.93,G9
166,2.8,24.49,G5
167,3.16,45.33,G7
168,3.09,41.54,G7
169,2.32,9.56,G3
170,3.2,47.85,G7
171,3.6,76.95,G10
172,2.74,21.37,G5
173,2.55,16.7,G4
174,2.47,12.07,G4
175,3.51,72.11,G10
176,3.86,90.05,G10
177,2.89,27.86,G5
178,3.39,60.4,G9
179,2.75,22.98,G5
180,3.59,76.03,G10
181,1.98,4.26,G2
182,3.09,41.44,G7
183,3.37,58.93,G8
184,3.11,42.28,G7
185,3.11,42.67,G7
186,2.9,28.46,G5
187,3.45,64.18,G9
188,3.34,57.65,G8
189,3.0,38.06,G6
190,3.57,74.8,G10
191,2.68,19.96,G4
192,3.03,38.79,G6
193,2.27,9.0,G3
194,3.85,89.85,G10
195,3.09,41.42,G7
196,2.86,26.66,G5
197,3.07,40.23,G7
198,3.42,62.23,G9
199,3.78,87.1,G10
200,2.84,26.03,G5
201,3.03,38.72,G6
202,2.99,31.43,G6
203,3.15,44.85,G7
204,2.96,30.46,G6
205,3.52,72.28,G10
206,3.48,65.4,G9
207,3.37,59.27,G8
208,2.86,26.75,G5
209,2.84,26.09,G5
210,2.89,27.88,G5
211,3.6,76.4,G10
212,2.59,17.44,G4
213,4.04,96.9,G10
214,4.05,97.0,G10
215,3.84,89.55,G10
216,3.27,52.55,G8
217,2.73,21.15,G5
218,3.29,54.06,G8
219,3.63,78.41,G10
220,2.41,11.14,G4
222,3.54,73.22,G10
223,3.87,90.55,G10
224,3.45,63.73,G9
225,3.29,53.78,G8
226,2.84,26.02,G5
227,3.07,40.29,G7
228,2.69,20.17,G5
229,3.56,74.54,G10
230,3.59,76.18,G10
231,2.97,30.7,G6
232,4.04,96.85,G10
233,3.53,72.58,G10
234,2.69,20.02,G5
235,3.67,80.26,G10
236,3.32,55.75,G8
237,3.23,49.03,G7
238,3.17,46.23,G7
239,3.06,39.8,G6
240,2.91,28.73,G5
241,3.04,38.94,G6
242,3.39,60.29,G9
243,2.54,16.38,G4
244,2.39,10.88,G4
245,2.98,31.08,G6
246,4.04,96.93,G10
247,3.84,89.57,G10
248,3.03,38.72,G6
249,3.68,81.63,G10
250,2.99,31.51,G6
251,3.06,39.58,G6
252,3.23,48.96,G7
253,3.5,66.16,G9
254,2.9,28.04,G5
255,2.3,9.28,G3
256,2.75,21.47,G5
257,3.41,61.79,G9
258,2.65,18.98,G4
259,3.08,40.67,G7
260,4.19,98.04,G10
261,3.63,78.74,G10
262,3.78,86.85,G10
263,3.73,84.23,G10
264,3.35,58.21,G8
265,3.93,92.23,G10
266,3.5,66.18,G9
267,2.89,27.9,G5
268,3.31,55.0,G8
269,3.48,65.33,G9
270,3.17,46.38,G7
271,3.33,56.33,G8
272,3.75,85.97,G10
273,3.14,44.07,G7
274,2.88,27.48,G5
275,2.73,21.09,G5
276,2.99,31.44,G6
277,3.43,62.92,G9
278,3.02,38.56,G6
279,3.7,82.67,G10
280,3.73,83.84,G10
281,3.67,81.11,G10
282,3.43,62.52,G9
283,3.08,41.1,G7
284,2.89,27.81,G5
285,2.35,10.25,G4
286,2.08,6.82,G3
287,3.24,49.84,G7
288,3.24,49.47,G7
289,3.35,57.87,G8
290,4.0,93.31,G10
291,2.29,9.22,G3
292,3.42,61.91,G9
293,4.05,96.99,G10
294,3.18,46.52,G7
295,2.8,24.16,G5
296,4.18,97.97,G10
297,3.11,42.66,G7
