movieId,n_i,popularity_pct
1141,5,32.95
3191,5,32.95
3226,3,25.03
3234,3,25.03
3277,4,29.48
3278,5,32.95
3290,3,25.03
3312,5,32.95
3332,5,32.95
3356,1,7.43
3382,5,32.95
3383,4,29.48
3411,5,32.95
3561,1,7.43
3582,3,25.03
3583,3,25.03
3750,5,32.95
3856,5,32.95
4071,3,25.03
4762,3,25.03
4820,3,25.03
4882,5,32.95
5070,4,29.48
5257,5,32.95
5261,5,32.95
5320,4,29.48
5330,4,29.48
5565,3,25.03
5676,3,25.03
5757,4,29.48
5805,2,18.67
5814,4,29.48
5877,3,25.03
5905,1,7.43
6079,4,29.48
6165,4,29.48
6189,2,18.67
6209,4,29.48
6253,2,18.67
6393,5,32.95
6491,4,29.48
6501,3,25.03
6504,5,32.95
6606,3,25.03
6697,5,32.95
6758,2,18.67
6766,4,29.48
6838,3,25.03
6929,3,25.03
6941,3,25.03
6943,3,25.03
7140,5,32.95
7145,4,29.48
7233,4,29.48
7409,4,29.48
7422,5,32.95
7452,3,25.03
7471,2,18.67
7537,3,25.03
7567,5,32.95
7568,3,25.03
7750,5,32.95
7754,4,29.48
7816,3,25.03
7823,2,18.67
7825,5,32.95
8038,3,25.03
8359,2,18.67
8394,4,29.48
8457,5,32.95
8461,5,32.95
8500,5,32.95
8536,5,32.95
8545,4,29.48
8627,4,29.48
8699,5,32.95
8707,3,25.03
8708,3,25.03
8737,4,29.48
8863,2,18.67
8888,2,18.67
8909,3,25.03
8945,4,29.48
8975,5,32.95
25745,2,18.67
25747,5,32.95
25749,5,32.95
25760,1,7.43
25768,3,25.03
25787,3,25.03
25809,3,25.03
25814,5,32.95
25816,1,7.43
25843,2,18.67
25851,4,29.48
25871,2,18.67
25872,4,29.48
25884,5,32.95
25887,5,32.95
25892,1,7.43
25897,2,18.67
25910,3,25.03
25928,2,18.67
25935,1,7.43
25936,5,32.95
25957,1,7.43
25970,4,29.48
25979,3,25.03
26008,4,29.48
26016,2,18.67
26026,1,7.43
26028,2,18.67
26035,2,18.67
26042,3,25.03
26044,5,32.95
26046,1,7.43
26050,1,7.43
26058,1,7.43
26063,4,29.48
26066,5,32.95
26088,1,7.43
26099,4,29.48
26108,3,25.03
26127,4,29.48
26130,2,18.67
26156,5,32.95
26162,2,18.67
26194,4,29.48
26206,5,32.95
26209,3,25.03
26214,3,25.03
26216,2,18.67
26221,5,32.95
26223,1,7.43
26227,3,25.03
26232,2,18.67
26235,5,32.95
26243,2,18.67
26254,1,7.43
26255,4,29.48
26263,1,7.43
26266,4,29.48
26267,1,7.43
26287,1,7.43
26290,5,32.95
26291,5,32.95
26304,2,18.67
26316,3,25.03
26337,2,18.67
26353,2,18.67
26362,3,25.03
26377,5,32.95
26389,2,18.67
26397,1,7.43
26401,5,32.95
26402,2,18.67
26436,3,25.03
26446,2,18.67
26450,2,18.67
26459,3,25.03
26480,4,29.48
26484,5,32.95
26489,5,32.95
26496,5,32.95
26507,4,29.48
26515,1,7.43
26519,4,29.48
26526,3,25.03
26530,3,25.03
26532,4,29.48
26536,2,18.67
26551,3,25.03
26597,2,18.67
26600,2,18.67
