movieId,n_i,popularity_pct
33,65,63.52
51,27,54.1
56,70,64.31
98,81,65.83
109,16,48.7
115,38,57.66
127,41,58.51
128,75,65.06
130,39,57.94
133,19,50.63
134,36,57.1
139,41,58.51
142,41,58.51
143,14,47.23
167,79,65.55
192,81,65.83
226,43,59.02
284,36,57.1
311,81,65.83
395,13,46.3
396,26,53.75
398,51,60.93
399,10,42.92
400,28,54.48
401,19,50.63
402,60,62.7
403,13,46.3
404,81,65.83
406,66,63.68
439,53,61.37
530,32,55.9
545,50,60.75
559,47,60.04
560,39,57.94
572,35,56.77
576,25,53.36
579,38,57.66
584,27,54.1
591,30,55.24
604,6,35.71
607,18,50.06
620,35,56.77
623,35,56.77
624,47,60.04
625,25,53.36
629,24,52.96
636,35,56.77
641,80,65.7
642,11,44.17
643,23,52.6
644,14,47.23
651,44,59.26
652,76,65.17
654,17,49.39
655,18,50.06
657,36,57.1
658,49,60.54
672,27,54.1
675,28,54.48
676,28,54.48
682,64,63.36
683,35,56.77
684,21,51.69
690,82,65.95
693,27,54.1
699,17,49.39
721,18,50.06
723,33,56.16
727,25,53.36
730,70,64.31
734,59,62.53
738,24,52.96
739,12,45.26
744,37,57.38
749,42,58.78
752,41,58.51
758,25,53.36
763,55,61.78
768,34,56.43
770,27,54.1
772,34,56.43
773,36,57.1
774,35,56.77
776,47,60.04
777,29,54.88
789,47,60.04
792,48,60.31
796,42,58.78
812,35,56.77
814,11,44.17
815,28,54.48
816,73,64.8
819,57,62.16
820,60,62.7
821,47,60.04
822,35,56.77
825,21,51.69
826,24,52.96
843,58,62.35
845,72,64.63
855,35,56.77
856,58,62.35
857,45,59.53
859,15,48.02
871,60,62.7
872,61,62.89
873,41,58.51
874,73,64.8
878,28,54.48
884,54,61.58
887,37,57.38
890,29,54.88
894,28,54.48
895,61,62.89
975,24,52.96
977,10,42.92
979,41,58.51
983,20,51.17
985,58,62.35
989,72,64.63
1001,35,56.77
1039,57,62.16
1045,46,59.79
1052,48,60.31
1062,66,63.68
1065,16,48.7
1070,57,62.16
1071,57,62.16
1102,80,65.7
1106,38,57.66
1109,13,46.3
1110,29,54.88
1115,39,57.94
1118,32,55.9
1122,17,49.39
1134,57,62.16
1137,68,64.01
1138,52,61.14
1139,25,53.36
1140,32,55.9
1142,64,63.36
1143,55,61.78
1145,57,62.16
1146,38,57.66
1149,59,62.53
1155,10,42.92
1156,42,58.78
1157,32,55.9
1158,13,46.3
1159,19,50.63
1160,43,59.02
1165,36,57.1
1166,40,58.23
1308,24,52.96
1309,31,55.58
1314,44,59.26
1315,65,63.52
1316,48,60.31
1319,24,52.96
1360,53,61.37
1368,41,58.51
1386,29,54.88
1400,32,55.9
1420,81,65.83
1424,25,53.36
1433,67,63.85
1434,60,62.7
1436,68,64.01
1443,23,52.6
1448,50,60.75
1462,20,51.17
1467,28,54.48
1470,53,61.37
1510,23,52.6
1522,36,57.1
1524,20,51.17
1528,28,54.48
1531,72,64.63
1532,62,63.06
1543,72,64.63
1548,38,57.66
1553,32,55.9
1555,68,64.01
1557,18,50.06
1558,32,55.9
1559,9,41.51
1561,40,58.23
1567,78,65.42
1568,6,35.71
1577,35,56.77
1578,19,50.63
1579,33,56.16
1622,57,62.16
1628,39,57.94
1630,18,50.06
1636,78,65.42
1652,74,64.95
1664,64,63.36
1697,22,52.19
1698,49,60.54
1705,14,47.23
1706,13,46.3
1708,15,48.02
1709,19,50.63
1710,22,52.19
1714,36,57.1
1716,28,54.48
1718,46,59.79
1720,57,62.16
1723,54,61.58
1724,33,56.16
1738,14,47.23
1740,14,47.23
1742,26,53.75
1743,53,61.37
1764,12,45.26
1765,22,52.19
1768,37,57.38
1774,13,46.3
1776,14,47.23
1781,8,39.92
1782,36,57.1
1787,22,52.19
1789,14,47.23
1795,54,61.58
1796,37,57.38
1811,82,65.95
1815,9,41.51
1819,19,50.63
1820,61,62.89
1830,11,44.17
1832,48,60.31
1842,23,52.6
1843,39,57.94
1849,49,60.54
1851,14,47.23
1852,13,46.3
1871,70,64.31
1872,73,64.8
1877,47,60.04
1886,73,64.8
1890,65,63.52
1901,72,64.63
1903,57,62.16
1905,46,59.79
1908,42,58.78
1915,32,55.9
1930,72,64.63
2030,38,57.66
2039,64,63.36
2063,78,65.42
2127,40,58.23
2129,71,64.46
2156,60,62.7
2192,56,61.97
2198,58,62.35
2199,67,63.85
2213,17,49.39
2214,71,64.46
2215,81,65.83
2216,43,59.02
2217,8,39.92
2218,43,59.02
2220,31,55.58
2222,20,51.17
2223,37,57.38
2224,17,49.39
2225,37,57.38
2229,10,42.92
2230,13,46.3
2233,53,61.37
2234,56,61.97
2235,32,55.9
2242,66,63.68
2246,65,63.52
2251,8,39.92
2254,10,42.92
2258,49,60.54
2270,32,55.9
2274,12,45.26
2277,8,39.92
2299,44,59.26
2308,35,56.77
2309,44,59.26
2317,66,63.68
2319,17,49.39
2326,45,59.53
2343,19,50.63
2415,71,64.46
2438,12,45.26
2444,78,65.42
2480,37,57.38
2484,14,47.23
2486,66,63.68
2489,19,50.63
2508,12,45.26
2510,72,64.63
2538,44,59.26
2543,49,60.54
2547,9,41.51
2556,46,59.79
2564,19,50.63
2569,52,61.14
2576,32,55.9
2584,20,51.17
2588,15,48.02
2591,31,55.58
2592,32,55.9
2595,18,50.06
2601,15,48.02
2602,54,61.58
2603,32,55.9
2604,29,54.88
2608,49,60.54
2619,11,44.17
2623,39,57.94
2631,36,57.1
2636,74,64.95
2658,43,59.02
2679,52,61.14
2680,26,53.75
2684,29,54.88
2685,55,61.78
2698,23,52.6
2703,32,55.9
2740,75,65.06
2742,45,59.53
2754,69,64.17
2760,45,59.53
2768,74,64.95
2777,77,65.3
2811,34,56.43
2821,28,54.48
2823,41,58.51
2825,58,62.35
2832,31,55.58
2838,27,54.1
2845,43,59.02
2850,54,61.58
2854,68,64.01
2869,51,60.93
2895,18,50.06
2909,21,51.69
2910,53,61.37
2934,38,57.66
2954,17,49.39
2955,29,54.88
2957,20,51.17
2958,7,37.99
2980,17,49.39
2981,56,61.97
2994,76,65.17
2998,78,65.42
3001,73,64.8
3009,25,53.36
3023,30,55.24
3025,57,62.16
3026,73,64.8
