userId,r_bar_u
1,3.74
2,4.0
3,4.12
4,3.57
5,4.27
6,3.75
7,3.29
8,3.8
9,3.06
10,3.89
11,3.96
12,3.53
13,3.73
14,3.75
15,3.2
16,3.52
17,4.04
18,3.61
19,3.84
20,3.43
21,3.71
22,3.59
23,3.94
24,3.33
25,3.62
26,3.49
27,3.85
28,2.81
29,3.49
30,2.9
31,3.45
32,3.45
33,3.3
34,3.86
35,4.25
36,2.8
37,3.4
38,3.49
39,3.7
40,3.33
41,4.12
42,4.03
43,3.67
44,4.27
45,3.11
46,3.41
47,2.55
48,3.92
49,3.8
50,4.15
51,3.58
52,3.35
53,4.1
54,3.44
55,4.17
56,3.48
57,4.1
58,4.13
59,3.4
60,4.07
61,3.38
62,4.39
63,4.2
64,4.34
65,3.8
66,3.83
67,4.06
68,3.5
69,3.14
70,2.76
71,4.32
72,4.01
73,3.56
74,4.28
75,3.91
76,3.69
77,3.62
78,3.61
79,3.68
80,3.64
81,4.74
82,3.98
83,3.73
84,4.06
85,4.22
86,3.54
87,2.89
88,2.25
89,3.42
90,3.53
91,3.38
92,3.5
93,3.89
94,3.37
95,3.4
96,3.45
97,3.49
98,4.19
99,4.16
100,3.5
101,3.5
102,4.13
103,3.48
104,2.85
105,3.96
106,3.03
107,3.86
108,3.22
109,3.57
110,3.73
111,3.7
112,3.64
113,4.39
114,3.82
115,3.35
116,2.21
117,4.26
118,4.31
119,3.97
120,3.46
121,4.35
122,4.26
123,2.64
124,3.63
125,3.56
126,3.34
127,4.07
128,3.56
129,2.67
130,3.43
131,2.25
132,3.63
133,3.46
134,3.17
135,3.36
136,4.41
137,3.75
138,3.52
139,3.3
140,3.9
141,2.73
142,3.38
143,3.78
144,3.45
145,3.61
146,3.41
147,3.48
148,3.59
149,3.38
150,3.17
151,2.95
152,3.55
153,4.36
154,3.85
155,3.69
156,3.61
157,3.39
158,3.4
159,4.0
160,3.36
161,2.76
162,3.35
163,3.73
164,3.99
165,2.84
166,3.85
167,3.67
168,4.63
169,3.86
170,4.07
171,3.96
172,3.22
173,3.43
174,3.5
175,3.63
176,4.56
177,3.65
178,4.4
179,2.81
180,3.5
181,3.72
182,3.8
183,3.18
184,3.58
185,3.12
186,3.31
187,4.13
188,2.74
189,4.38
190,4.1
191,3.46
192,3.91
193,2.55
194,4.38
195,2.68
196,3.72
197,3.89
198,4.06
199,3.55
200,3.64
201,4.29
202,3.19
203,3.62
204,4.36
205,3.36
206,3.52
207,2.93
208,3.66
209,3.81
210,3.75
211,4.03
212,3.6
213,4.54
214,3.86
215,3.45
216,3.67
217,3.48
218,3.86
219,3.79
220,3.79
221,3.08
222,3.77
223,3.4
224,3.41
225,3.37
226,4.09
227,3.21
228,3.49
229,3.39
230,3.92
231,3.7
232,4.4
233,3.25
234,3.17
235,3.34
236,3.75
237,4.4
238,3.46
239,4.17
240,3.24
241,4.17
242,3.57
243,3.5
244,4.05
245,4.15
246,2.87
247,3.37
248,3.53
249,3.88
250,3.2
251,3.75
252,4.04
253,4.0
254,3.48
255,3.95
256,3.88
257,3.35
258,3.15
259,3.25
260,3.47
261,3.04
262,4.12
263,3.63
264,3.39
265,3.23
266,3.61
267,3.95
268,3.83
269,2.87
270,4.37
271,3.12
272,3.58
273,3.23
274,3.05
275,3.89
276,3.35
277,3.62
278,3.19
279,3.78
280,4.03
281,4.1
282,3.99
283,3.84
284,3.46
285,4.0
286,3.53
287,4.05
288,3.38
289,3.65
290,3.57
291,3.41
292,3.35
293,3.48
294,3.37
295,3.14
296,3.88
297,3.62
298,2.85
299,2.33
300,3.54
301,3.34
302,3.69
303,4.0
304,3.32
305,3.79
306,3.5
307,4.12
308,3.36
309,3.79
310,3.8
311,2.91
312,3.2
313,3.25
314,3.87
315,3.12
316,3.33
317,3.63
318,3.04
319,3.42
320,3.7
321,3.73
322,3.92
323,3.35
324,3.18
325,3.7
326,3.29
327,3.75
328,3.2
329,4.0
330,3.01
331,3.24
332,3.23
333,4.0
334,3.18
335,3.99
336,3.49
337,4.2
338,4.1
339,4.17
340,3.74
341,3.25
342,3.89
343,3.14
344,3.57
345,3.58
346,3.77
347,2.98
348,3.96
349,3.5
350,3.05
351,3.86
352,3.94
353,4.06
354,3.78
355,2.96
356,3.72
357,4.47
358,3.1
359,3.62
360,4.51
361,4.05
362,3.7
363,3.79
364,3.12
365,3.1
366,3.54
367,3.12
368,3.33
369,3.41
370,3.45
371,3.82
372,4.07
373,3.9
374,3.62
375,4.34
376,4.11
377,3.41
378,3.81
379,3.54
380,3.71
381,3.85
382,4.25
383,2.68
384,3.76
385,3.75
386,3.63
387,3.96
388,2.29
389,3.32
390,3.74
391,3.67
392,3.55
393,3.6
394,3.92
395,3.76
396,2.4
397,4.14
398,4.11
399,3.81
400,3.68
401,4.15
402,4.07
403,3.25
404,1.75
405,3.9
406,2.43
407,4.19
408,3.31
409,3.78
410,3.57
411,3.62
412,3.08
413,3.38
414,3.65
415,3.41
416,3.65
417,2.77
418,4.02
419,4.41
420,3.28
421,3.32
422,2.6
423,4.1
424,2.81
425,4.27
426,3.76
427,3.11
428,2.2
429,4.28
430,3.52
431,3.76
432,3.9
433,4.1
434,4.68
435,3.19
436,4.01
437,3.65
438,2.67
439,3.71
440,3.72
441,3.09
442,3.55
443,3.88
444,3.69
445,3.48
446,4.0
447,3.78
448,3.76
449,3.68
450,3.41
451,3.28
452,3.82
453,3.95
454,2.72
455,2.96
456,3.22
457,3.24
458,3.51
459,3.38
460,2.2
461,3.56
462,3.63
463,3.89
464,2.78
465,4.1
466,3.75
467,3.5
468,3.97
469,3.3
470,3.31
471,3.51
472,4.36
473,3.77
474,4.04
475,4.07
476,3.82
477,3.25
478,4.31
479,3.16
480,3.09
481,3.43
482,3.95
483,3.79
484,4.1
485,2.83
486,4.06
487,3.04
488,3.42
489,3.34
490,3.67
491,3.61
492,3.34
493,3.0
494,4.0
495,3.22
496,4.13
497,3.38
498,3.52
499,3.55
500,4.1
501,3.81
502,4.56
503,3.51
504,3.9
505,4.02
506,3.46
507,3.02
508,4.02
509,4.07
510,3.8
511,3.75
512,3.8
513,2.78
514,3.25
515,3.79
516,3.56
517,3.94
518,3.81
519,2.98
520,4.25
521,3.92
522,3.58
523,3.36
524,3.42
525,3.9
526,2.91
527,3.95
528,3.7
529,3.3
530,2.43
531,2.86
532,3.76
533,4.56
534,4.09
535,3.85
536,3.09
537,3.44
538,3.52
539,4.18
540,3.65
541,3.76
542,3.65
543,3.63
544,3.11
545,3.36
546,3.67
547,3.45
548,3.05
549,3.84
550,3.7
551,3.01
552,3.49
553,4.09
554,3.37
555,3.86
556,3.44
557,3.39
558,3.6
559,4.22
560,3.27
561,3.92
562,4.15
563,4.14
564,3.4
565,3.74
566,4.17
567,4.23
568,4.22
569,3.41
570,3.98
571,3.6
572,3.43
573,4.3
574,2.16
575,3.71
576,3.79
577,3.95
578,3.56
579,3.08
580,4.06
581,3.77
582,4.09
583,3.28
584,4.18
585,3.81
