group_id,n_users
581,44.0
4893,393.0
1460,1437.0
9257,111.0
29515,271.0
26123,71.0
17946,746.0
2606,1649.0
17343,229.0
34387,676.0
5839,342.0
19190,401.0
39640,330.0
1469,92.0
15231,224.0
837,72.0
1057,1112.0
3467,936.0
17372,45.0
1473,52.0
3431,652.0
32906,278.0
25775,593.0
2338,600.0
10768,842.0
2310,1868.0
18271,268.0
14539,181.0
3773,661.0
3210,224.0
2660,93.0
14617,428.0
1367,467.0
28727,272.0
3790,10.0
8932,996.0
16620,35.0
620,252.0
11745,209.0
4162,610.0
9622,261.0
14887,134.0
15038,207.0
8161,324.0
16929,858.0
11017,755.0
27180,213.0
12913,419.0
13999,235.0
2577,1503.0
150,311.0
11781,14.0
1644,638.0
15684,405.0
18433,791.0
16144,402.0
2941,302.0
2605,1478.0
8409,601.0
5325,356.0
13050,299.0
14121,228.0
25414,376.0
706,60.0
8383,527.0
2875,188.0
43127,35.0
8158,365.0
18155,301.0
32623,516.0
1863,131.0
5139,524.0
26505,281.0
15826,646.0
13881,252.0
36,318.0
8770,170.0
10372,398.0
6284,251.0
3707,214.0
7054,266.0
26504,486.0
4677,98.0
18260,719.0
28042,763.0
4818,771.0
5495,1225.0
1959,444.0
10697,493.0
2831,492.0
1449,95.0
11713,279.0
504,865.0
28793,364.0
3598,535.0
5718,441.0
25570,491.0
9555,403.0
15134,251.0
463,170.0
25471,1447.0
13828,1183.0
26847,286.0
1876,540.0
44348,249.0
14684,277.0
33547,153.0
5680,285.0
3348,213.0
6462,158.0
6171,979.0
5749,241.0
1617,462.0
1441,574.0
3220,708.0
2992,357.0
3858,318.0
24250,266.0
40318,592.0
3231,577.0
16461,657.0
23893,362.0
31829,225.0
14184,382.0
9791,962.0
1950,373.0
11493,966.0
4933,110.0
25871,315.0
3010,787.0
8307,242.0
9133,709.0
3464,925.0
20007,424.0
8807,520.0
25404,168.0
13159,236.0
6870,364.0
3422,877.0
3146,516.0
1849,2132.0
22391,362.0
4658,200.0
9836,515.0
18379,341.0
13396,142.0
23594,1559.0
1975,1285.0
3615,104.0
23948,96.0
3817,430.0
54788,379.0
28563,484.0
15531,216.0
1024,179.0
517,76.0
1059,154.0
3335,376.0
23519,392.0
16376,458.0
5511,126.0
11298,531.0
1296,50.0
3964,301.0
46710,192.0
30953,209.0
828,150.0
841,557.0
6314,449.0
14052,489.0
1913,265.0
2039,754.0
13085,137.0
4264,933.0
31828,238.0
6185,400.0
3437,319.0
7853,762.0
44127,472.0
22556,527.0
19161,407.0
13679,833.0
27578,394.0
15361,376.0
1669,216.0
2450,85.0
404,812.0
3124,588.0
2033,880.0
5715,1573.0
41329,549.0
15617,537.0
33021,223.0
20266,144.0
8559,575.0
5994,708.0
13276,210.0
4958,432.0
8061,578.0
4222,162.0
40240,325.0
5693,475.0
15327,39.0
2000,657.0
6919,409.0
42156,536.0
28259,401.0
40074,331.0
8297,330.0
11473,764.0
22059,385.0
13124,342.0
15614,187.0
5616,1064.0
2851,1188.0
18157,227.0
14656,310.0
3108,697.0
849,64.0
22917,339.0
51404,673.0
26068,631.0
2491,622.0
45903,146.0
19243,434.0
18791,192.0
4206,541.0
1676,142.0
8404,420.0
8998,584.0
3240,213.0
6411,936.0
13779,277.0
7792,835.0
28007,81.0
3856,849.0
5598,113.0
20231,495.0
14976,230.0
16878,486.0
1967,1716.0
9548,484.0
4902,211.0
15254,268.0
675,152.0
893,118.0
13594,337.0
7146,97.0
44811,306.0
4358,648.0
7576,423.0
4013,283.0
42173,421.0
4114,463.0
656,323.0
1671,162.0
11993,347.0
16403,92.0
4829,102.0
1034,436.0
12436,172.0
11613,373.0
15457,116.0
738,685.0
7298,643.0
18820,306.0
17656,36.0
20163,833.0
3935,129.0
17547,18.0
4755,496.0
1162,472.0
18720,745.0
4669,593.0
39181,671.0
6973,264.0
7755,395.0
14316,459.0
46066,324.0
6347,158.0
50666,650.0
6229,273.0
19451,442.0
11514,304.0
11115,95.0
51480,268.0
880,132.0
10973,171.0
11934,487.0
874,261.0
1051,172.0
5817,55.0
1061,151.0
17137,178.0
14036,416.0
4263,184.0
6482,283.0
2446,117.0
53329,169.0
856,142.0
14407,681.0
24998,146.0
5501,421.0
6092,313.0
40887,206.0
31945,415.0
17674,234.0
3484,333.0
2746,276.0
21450,132.0
