component,singular_value,variance_explained
1,72.6183,0.0801
2,70.2467,0.0749
3,60.9097,0.0563
4,59.308,0.0534
5,55.9154,0.0475
6,55.055,0.046
7,48.8154,0.0362
8,47.8506,0.0348
9,42.0275,0.0268
10,40.6731,0.0251
11,39.6182,0.0238
12,38.5432,0.0226
13,38.0781,0.022
14,35.8517,0.0195
15,35.4476,0.0191
16,34.1162,0.0177
17,33.0542,0.0166
18,32.9145,0.0165
19,32.6052,0.0161
20,31.5201,0.0151
21,30.9829,0.0146
22,30.8848,0.0145
23,30.8782,0.0145
24,30.0544,0.0137
25,29.4546,0.0132
26,28.7506,0.0126
27,28.6119,0.0124
28,28.5261,0.0124
29,28.4188,0.0123
30,27.9423,0.0119
31,27.7819,0.0117
32,27.5703,0.0115
33,27.3941,0.0114
34,26.8259,0.0109
35,26.5877,0.0107
36,26.5358,0.0107
37,26.2841,0.0105
38,26.2601,0.0105
39,25.5141,0.0099
40,25.4537,0.0098
41,25.233,0.0097
42,25.0572,0.0095
43,24.9017,0.0094
44,24.7425,0.0093
45,24.3297,0.009
46,24.0633,0.0088
47,24.0193,0.0088
48,23.9423,0.0087
49,23.7228,0.0085
50,23.6044,0.0085
