user_1,user_2,similarity
1124226,204135,0.7144
1124226,9446,0.6929
1124226,866639,0.6875
1124226,494193,0.6682
1124226,1027258,0.6667
828526,286511,0.7971
828526,2971113,0.6949
828526,200543,0.6929
828526,951353,0.6814
828526,2078629,0.6761
1669090,2586328,0.6364
1669090,254508,0.6093
1669090,779814,0.5721
1669090,944879,0.5721
1669090,1181172,0.5721
197911,1827184,0.7313
197911,3681,0.7276
197911,780219,0.713
197911,677375,0.705
197911,2693684,0.7001
1414798,1193437,0.7035
1414798,3203672,0.7006
1414798,721097,0.6784
1414798,2206205,0.669
1414798,1610743,0.6581
691623,2148104,0.8704
691623,2093296,0.8581
691623,1144719,0.8362
691623,4296137,0.8292
691623,2724825,0.8182
755843,2440075,0.4825
755843,31336,0.4751
755843,146030,0.4111
755843,776222,0.4111
755843,2800122,0.4068
579854,1043819,0.414
579854,2281363,0.414
579854,444258,0.4115
579854,2642830,0.4115
579854,2818607,0.3948
1392220,1844175,0.7894
1392220,780219,0.7412
1392220,2798147,0.7396
1392220,1204701,0.7396
1392220,2693684,0.7206
1246932,320885,0.3482
1246932,541389,0.3311
1246932,603661,0.2981
1246932,2254479,0.2887
1246932,1969196,0.2778
351179,3064662,0.4558
351179,472173,0.45
351179,193561,0.45
351179,1119806,0.4264
351179,698522,0.4139
2246812,1268195,0.6888
2246812,1784986,0.6885
2246812,380855,0.6694
2246812,1591061,0.6694
2246812,1133894,0.6694
1020643,2121702,0.6
1020643,3530658,0.5071
1020643,347766,0.4961
1020643,2064739,0.495
1020643,1594498,0.4899
1212709,205430,0.6917
1212709,1439991,0.6882
1212709,465060,0.6848
1212709,1901522,0.6623
1212709,184637,0.6529
752500,1332606,0.5125
752500,639818,0.4995
752500,1118404,0.4949
752500,2472050,0.4905
752500,3352030,0.4891
958733,717254,0.7298
958733,219690,0.695
958733,934916,0.6576
958733,352525,0.6564
958733,334209,0.6507
2611856,288492,0.6172
2611856,459793,0.6106
2611856,1768976,0.5943
2611856,1313550,0.5893
2611856,1485042,0.588
1278004,1570317,0.7518
1278004,212415,0.7161
1278004,1265526,0.7016
1278004,1107493,0.6822
1278004,3116302,0.6727
1881774,2684162,0.5657
1881774,1216707,0.5394
1881774,1850113,0.5369
1881774,563908,0.5262
1881774,617987,0.5078
385148,1891378,0.639
385148,1198119,0.6155
385148,1140334,0.6093
385148,2685462,0.5963
385148,1293244,0.5833
798511,771464,0.6211
798511,679194,0.5963
798511,1697914,0.5923
798511,489751,0.5903
