user_id,n_groups
1124226,16.0
828526,14.0
1669090,11.0
197911,17.0
1414798,11.0
691623,11.0
755843,29.0
579854,21.0
1392220,13.0
1246932,12.0
351179,22.0
2246812,15.0
1020643,10.0
1212709,19.0
752500,38.0
958733,36.0
2611856,49.0
1278004,13.0
1881774,10.0
385148,12.0
798511,45.0
1521253,18.0
2222448,10.0
712409,46.0
3909938,12.0
1300281,12.0
1180460,14.0
2886076,11.0
567446,12.0
4607688,13.0
2504577,31.0
184316,12.0
2339998,13.0
1249437,15.0
10980,9.0
197411,10.0
363384,9.0
1743087,9.0
264764,32.0
1269572,14.0
3555086,16.0
187775,64.0
1347102,17.0
990510,12.0
1747574,13.0
2772152,44.0
1972176,13.0
917682,23.0
3622547,59.0
3214198,13.0
784165,12.0
298496,11.0
1420825,41.0
2868172,24.0
1244252,22.0
201665,21.0
2604531,27.0
4188074,9.0
2306096,22.0
954564,18.0
354930,25.0
1396100,11.0
2318910,12.0
641788,15.0
138297,19.0
173108,16.0
2065043,9.0
966032,23.0
1234399,18.0
1664499,12.0
656160,27.0
1550565,19.0
1682093,10.0
3658110,10.0
757484,32.0
156543,74.0
1664655,17.0
1203244,11.0
1209725,12.0
274827,10.0
576355,11.0
1414490,16.0
4199891,40.0
2511990,11.0
3355852,25.0
1166952,19.0
2214097,21.0
1244970,35.0
1425128,9.0
1326112,11.0
152301,33.0
2918935,25.0
2140806,16.0
218371,41.0
302998,13.0
594965,10.0
1074319,22.0
3800441,14.0
425649,29.0
519442,9.0
770246,11.0
4024641,16.0
346104,21.0
2760611,13.0
1774289,15.0
411588,20.0
1824408,15.0
347766,26.0
346893,48.0
447785,13.0
653344,12.0
2110879,9.0
355185,37.0
226953,24.0
705770,63.0
795382,15.0
194713,14.0
740044,24.0
1382100,12.0
193312,9.0
2425824,12.0
1561728,17.0
1933143,15.0
2187856,13.0
694000,11.0
2370020,10.0
1789488,18.0
2569370,51.0
2869463,19.0
116721,13.0
469976,19.0
1677371,17.0
3542267,11.0
4073130,51.0
782627,32.0
2262733,67.0
3638035,10.0
236754,18.0
4682236,14.0
2762299,17.0
348390,20.0
914010,17.0
1055681,10.0
2426450,19.0
813897,20.0
407466,10.0
851350,11.0
277627,19.0
2207425,16.0
1512135,17.0
2566350,11.0
1862632,26.0
3262898,14.0
708671,16.0
2261905,49.0
3329467,21.0
3865509,33.0
1026300,17.0
999186,21.0
498823,10.0
2731121,35.0
467363,12.0
2256696,12.0
1300886,15.0
1149951,11.0
4308462,10.0
1353062,10.0
1416846,11.0
2402362,18.0
590316,12.0
1424542,41.0
2221836,13.0
618389,62.0
736614,29.0
329053,12.0
1093497,10.0
1169994,15.0
2662141,13.0
1427467,12.0
816267,39.0
1023453,14.0
96207,23.0
651312,24.0
2144628,10.0
3305145,14.0
471597,17.0
1598364,28.0
1266480,15.0
950190,17.0
854016,17.0
1027484,14.0
1763051,15.0
3911635,15.0
2678428,11.0
1447456,10.0
1686177,53.0
1935045,11.0
3992023,16.0
4033899,16.0
3035741,18.0
724842,33.0
288694,29.0
1835266,12.0
1152671,39.0
254782,17.0
1207345,17.0
97774,14.0
903664,17.0
582380,10.0
1043969,14.0
332334,17.0
2543513,10.0
1528171,23.0
521339,11.0
3469159,12.0
1931400,36.0
564880,12.0
2743280,10.0
3416742,30.0
3049671,10.0
1549052,19.0
1672891,18.0
1880352,26.0
2979797,21.0
608550,74.0
736373,12.0
1076263,12.0
172463,21.0
1562829,12.0
634688,20.0
2526798,11.0
351012,14.0
1156621,11.0
1358372,16.0
1071020,18.0
64598,16.0
140692,14.0
1519286,13.0
2268902,10.0
446147,13.0
2282589,13.0
3872661,13.0
334623,11.0
3305980,18.0
553087,16.0
495961,10.0
418708,12.0
1002224,10.0
32699,17.0
120521,21.0
170222,12.0
595793,11.0
3131516,18.0
529200,13.0
582399,34.0
3447771,9.0
759771,10.0
860837,14.0
708928,13.0
2218744,12.0
850137,24.0
408000,62.0
602225,37.0
1413676,37.0
1319104,10.0
1477274,22.0
1120157,31.0
2437473,18.0
739989,30.0
244169,11.0
3214990,12.0
328600,18.0
2790210,108.0
1620655,13.0
987416,23.0
3190726,11.0
526850,18.0
3223348,32.0
424654,15.0
914466,13.0
2223818,12.0
980329,11.0
81850,12.0
1016899,76.0
1847317,17.0
2005254,31.0
220620,50.0
1605782,11.0
1295640,16.0
2540384,14.0
3043552,13.0
4050517,11.0
2288000,34.0
1127734,11.0
370229,26.0
1771840,15.0
1176385,29.0
1231293,10.0
2443595,12.0
664543,17.0
1850840,9.0
852554,10.0
689486,21.0
850172,13.0
1527926,61.0
993608,11.0
1582971,14.0
1353658,14.0
3628632,14.0
1901851,17.0
2714288,20.0
1524771,23.0
156424,15.0
277996,10.0
550460,19.0
154915,47.0
515695,26.0
896714,9.0
1349157,20.0
1655591,10.0
128656,14.0
277372,12.0
218632,39.0
1013063,47.0
558035,22.0
2588724,22.0
3421706,20.0
403981,14.0
2502491,20.0
265111,38.0
1565569,14.0
828617,11.0
1216700,23.0
3938080,51.0
1037431,14.0
281197,14.0
684352,11.0
3430383,12.0
1637,13.0
766836,27.0
1034561,21.0
2976533,16.0
548272,11.0
3258353,22.0
2201511,30.0
1548087,11.0
146552,11.0
3818604,21.0
1675432,24.0
1951475,10.0
373604,14.0
1642655,16.0
4243567,13.0
2639847,28.0
1003824,16.0
1193736,10.0
934996,36.0
1005513,17.0
975444,18.0
1165902,12.0
1505768,60.0
684301,15.0
647346,15.0
1519894,16.0
1986112,11.0
658718,24.0
2085840,18.0
59674,37.0
1388666,11.0
1379022,23.0
952835,24.0
1965042,11.0
891684,12.0
437086,11.0
2708637,15.0
410421,18.0
2417661,9.0
1634643,16.0
3155052,13.0
4507684,13.0
1193239,11.0
1090486,14.0
3611888,17.0
374365,15.0
51049,21.0
4283963,11.0
2848723,15.0
3089175,11.0
830778,14.0
1577448,11.0
1918823,40.0
3802616,16.0
489921,18.0
1342592,13.0
207645,10.0
3217347,11.0
986051,15.0
1127933,54.0
282273,27.0
650693,17.0
3549479,18.0
1226512,17.0
709941,10.0
1108689,11.0
2471528,17.0
469723,18.0
2574007,15.0
443776,17.0
172735,13.0
985873,10.0
2588226,10.0
781159,16.0
376536,18.0
321108,16.0
1691686,13.0
396357,13.0
962272,28.0
2916111,13.0
388509,9.0
302590,27.0
130683,12.0
57979,20.0
3222656,25.0
2386068,9.0
2996329,19.0
4252911,32.0
1190093,16.0
22732,18.0
2121155,36.0
1329236,12.0
