group_id,neighbor_rank,neighbor_group_id,similarity
2,1,93864,0.0
2,2,93870,0.0
2,3,93874,0.0
2,4,93876,0.0
2,5,93879,0.0
2,6,93918,0.0
2,7,93921,0.0
2,8,93783,0.0
2,9,93794,0.0
2,10,93797,0.0
5,1,5,1.0
5,2,6,1.0
5,3,8561,1.0
5,4,4019,1.0
5,5,7748,0.8931
5,6,25520,0.7534
5,7,6825,0.5953
5,8,33862,0.5758
5,9,10441,0.5739
5,10,3631,0.558
6,1,5,1.0
6,2,6,1.0
6,3,8561,1.0
6,4,4019,1.0
6,5,7748,0.8931
6,6,25520,0.7534
6,7,6825,0.5953
6,8,33862,0.5758
6,9,10441,0.5739
6,10,3631,0.558
7,1,8,1.0
7,2,10640,0.9105
7,3,6998,0.9105
7,4,16341,0.8466
7,5,21181,0.8466
7,6,12886,0.8466
7,7,18925,0.8285
7,8,8747,0.8261
7,9,21487,0.8261
7,10,5215,0.8261
8,1,8,1.0
8,2,10640,0.9105
8,3,6998,0.9105
8,4,16341,0.8466
8,5,21181,0.8466
8,6,12886,0.8466
8,7,18925,0.8285
8,8,8747,0.8261
8,9,21487,0.8261
8,10,5215,0.8261
9,1,9415,0.8786
9,2,16341,0.8071
9,3,21181,0.8071
9,4,12886,0.8071
9,5,8892,0.7584
9,6,6998,0.7504
9,7,10640,0.7504
9,8,11477,0.7007
9,9,8,0.6833
9,10,7,0.6833
10,1,74199,0.8338
10,2,31821,0.7618
10,3,42740,0.7149
10,4,54875,0.709
10,5,35558,0.705
10,6,41535,0.7043
10,7,46640,0.7013
10,8,35566,0.6873
10,9,57128,0.6829
10,10,55551,0.6816
11,1,30320,0.9
11,2,13472,0.7984
11,3,16477,0.7984
11,4,18933,0.7377
11,5,18934,0.7377
11,6,13576,0.7244
11,7,20086,0.7244
11,8,34410,0.7203
11,9,12768,0.7113
11,10,29496,0.6751
12,1,23427,0.5048
12,2,14620,0.4732
12,3,11,0.4675
12,4,29496,0.426
12,5,30320,0.4207
12,6,12768,0.4185
12,7,28014,0.3995
12,8,28637,0.3872
12,9,81491,0.3817
12,10,72280,0.374
13,1,10080,0.5895
13,2,18142,0.5593
13,3,10151,0.5025
13,4,13339,0.4873
13,5,7601,0.4219
13,6,50562,0.2573
13,7,93862,0.0
13,8,93864,0.0
13,9,93870,0.0
13,10,93874,0.0
14,1,829,0.6683
14,2,577,0.558
14,3,72320,0.5064
14,4,37737,0.4867
14,5,9391,0.4867
14,6,27292,0.4776
14,7,90186,0.4437
14,8,9846,0.4371
14,9,29425,0.4258
14,10,1546,0.4048
17,1,16737,0.5291
17,2,20649,0.5291
17,3,19470,0.5037
17,4,22052,0.4009
17,5,9463,0.398
17,6,7412,0.3954
17,7,13759,0.3899
17,8,15566,0.3787
17,9,41912,0.3765
17,10,59132,0.3673
19,1,4328,1.0
19,2,4071,1.0
19,3,19317,0.7623
19,4,20417,0.7185
19,5,4590,0.6774
19,6,6816,0.6774
19,7,17164,0.5256
19,8,16643,0.4957
19,9,4545,0.4957
19,10,16655,0.4906
22,1,3542,1.0
22,2,50856,0.7414
22,3,23360,0.6676
22,4,46081,0.6576
22,5,23821,0.6515
22,6,23060,0.6294
22,7,16139,0.6248
22,8,17753,0.6245
22,9,25851,0.6064
22,10,13000,0.5947
24,1,24,1.0
24,2,991,1.0
24,3,1128,1.0
24,4,413,1.0
24,5,912,1.0
24,6,996,1.0
24,7,262,1.0
24,8,347,1.0
24,9,29218,0.5621
24,10,34902,0.5039
25,1,46931,0.753
25,2,25795,0.7007
25,3,19093,0.6931
25,4,13878,0.6924
25,5,6677,0.6862
25,6,6794,0.6859
25,7,19653,0.6842
25,8,32346,0.681
25,9,21638,0.6741
25,10,18590,0.6615
26,1,24,1.0
26,2,991,1.0
26,3,1128,1.0
26,4,413,1.0
26,5,912,1.0
26,6,996,1.0
26,7,262,1.0
26,8,347,1.0
26,9,29218,0.5621
26,10,34902,0.5039
27,1,4775,0.6303
27,2,8711,0.5121
27,3,2624,0.5033
27,4,15156,0.5033
27,5,29341,0.4859
27,6,40080,0.4751
27,7,29452,0.4726
27,8,59822,0.4674
27,9,18089,0.4509
27,10,42717,0.4508
28,1,5183,1.0
28,2,19655,1.0
28,3,19834,1.0
28,4,36949,1.0
28,5,14599,1.0
28,6,10405,1.0
28,7,9686,1.0
28,8,21985,1.0
28,9,18680,1.0
28,10,2392,1.0
29,1,3253,1.0
29,2,29,1.0
29,3,32,1.0
29,4,13142,0.7569
29,5,15026,0.7
29,6,13403,0.689
29,7,21800,0.6515
29,8,8375,0.6497
29,9,20965,0.644
29,10,15482,0.6094
30,1,1089,0.6518
30,2,30118,0.615
30,3,4253,0.4996
30,4,36074,0.4996
30,5,19088,0.4763
30,6,523,0.4457
30,7,75130,0.4385
30,8,40334,0.4305
30,9,34,0.4287
30,10,33,0.4257
31,1,30118,0.7349
31,2,53775,0.6952
31,3,44713,0.6922
31,4,34,0.6829
31,5,56318,0.682
31,6,21904,0.677
31,7,79704,0.6757
31,8,56657,0.6626
31,9,24969,0.6519
31,10,40334,0.6481
32,1,3253,1.0
32,2,29,1.0
32,3,32,1.0
32,4,13142,0.7569
32,5,15026,0.7
32,6,13403,0.689
32,7,21800,0.6515
32,8,8375,0.6497
32,9,20965,0.644
32,10,15482,0.6094
33,1,4386,0.6991
33,2,1085,0.6991
33,3,2714,0.6921
33,4,6495,0.6363
33,5,12317,0.5831
33,6,19461,0.5831
33,7,1084,0.572
33,8,1089,0.5579
33,9,17448,0.5501
33,10,3690,0.5424
34,1,25395,0.8394
34,2,30118,0.8299
34,3,4253,0.7618
34,4,56657,0.7214
34,5,24969,0.6956
34,6,31,0.6829
34,7,5623,0.6723
34,8,21904,0.6626
34,9,13680,0.6598
34,10,35102,0.6497
35,1,7016,0.827
35,2,22345,0.8188
35,3,68948,0.7913
35,4,4851,0.7896
35,5,22677,0.7701
35,6,44796,0.7575
35,7,7024,0.755
35,8,3293,0.7514
35,9,47191,0.7429
35,10,32065,0.7404
36,1,4819,0.6625
36,2,278,0.6625
36,3,3080,0.6625
36,4,2973,0.6625
