user_id,n_features,max_weight,mean_weight
5,22,0.3976,0.2038
290,28,0.3192,0.1829
569,50,0.3033,0.1325
868,11,0.4384,0.294
1082,20,0.3406,0.2132
1104,101,0.385,0.0829
1290,19,0.3511,0.2206
1601,41,0.206,0.1534
1635,38,0.2433,0.1571
1637,13,0.3862,0.2665
2138,22,0.4519,0.1998
2208,24,0.3258,0.1967
2340,44,0.2212,0.1447
2412,25,0.2782,0.1932
2541,50,0.2535,0.1357
2641,88,0.2348,0.1028
2862,8,0.4348,0.3497
2910,23,0.3168,0.2001
2951,19,0.4656,0.2098
2972,42,0.2168,0.1479
3344,120,0.3784,0.0727
3352,37,0.2014,0.1617
3434,55,0.2977,0.122
3610,40,0.2485,0.1524
3631,21,0.6199,0.1562
3646,1,1.0,1.0
3686,24,0.312,0.1921
3719,33,0.2608,0.1675
3823,5,0.5383,0.4411
3831,29,0.2723,0.1788
3848,7,0.4834,0.3736
4299,37,0.2725,0.1578
4489,20,0.3602,0.2096
4522,5,0.6418,0.4266
4567,2,0.7251,0.7069
4734,9,0.6234,0.3042
4751,3,0.6645,0.5601
5018,29,0.2423,0.1791
5046,23,0.3329,0.1951
5153,10,0.4447,0.3031
5254,25,0.3031,0.1869
5448,15,0.4054,0.2513
5527,58,0.7208,0.0908
5586,62,0.3551,0.1174
5656,43,0.2173,0.1481
5885,7,0.6489,0.3511
5911,12,0.475,0.2713
6429,26,0.4848,0.178
6441,7,0.623,0.3604
6771,37,0.3039,0.1568
6787,57,0.2808,0.1243
6908,36,0.2639,0.1599
6939,9,0.6213,0.3117
7018,19,0.7519,0.1823
7166,1,1.0,1.0
7234,72,0.4747,0.1029
7889,283,0.3231,0.0484
7902,32,0.2838,0.1681
7914,43,0.5211,0.126
7935,20,0.3533,0.2098
8181,30,0.2763,0.1753
8225,6,0.5157,0.3959
8271,8,0.4854,0.344
8701,255,0.3537,0.0542
8722,27,0.3133,0.1859
9174,19,0.3061,0.2205
9446,79,0.1748,0.1076
9542,23,0.278,0.2037
9999,81,0.358,0.099
10604,4,0.6185,0.4933
10759,5,0.6836,0.4138
10980,26,0.2959,0.19
11264,98,0.1513,0.097
11498,29,0.3112,0.1793
11555,18,0.33,0.2299
11571,32,0.4064,0.1592
11670,19,0.3208,0.2237
12167,73,0.1807,0.1134
12498,2,0.8749,0.6796
13083,70,0.3855,0.0938
13180,43,0.3539,0.1406
13375,12,0.4029,0.2827
13513,47,0.4315,0.1351
14160,32,0.2798,0.1675
14240,13,0.3981,0.2676
14920,18,0.5749,0.209
15113,81,0.1697,0.1065
15182,10,0.4254,0.3028
15393,4,0.5931,0.4932
15737,7,0.5208,0.3658
15862,55,0.2054,0.1299
15863,9,0.3939,0.3258
16016,10,0.479,0.3066
16325,49,0.2369,0.1374
16582,18,0.6375,0.1871
17032,28,0.2627,0.1815
17149,12,0.41,0.2787
17330,46,0.5012,0.1315
17399,25,0.3777,0.1864
17413,23,0.3384,0.199
17485,26,0.2811,0.1883
18158,124,0.3467,0.0814
18293,7,0.4973,0.3604
18309,13,0.4608,0.2663
18383,31,0.3668,0.1678
18515,63,0.4233,0.1138
18538,10,0.4333,0.3096
18741,68,0.462,0.1076
18840,1,1.0,1.0
19112,12,0.4445,0.2736
19217,33,0.2847,0.1638
19293,24,0.2681,0.1949
19949,47,0.2376,0.1398
20244,51,0.21,0.1338
21054,16,0.3185,0.245
21116,44,0.4266,0.1403
21139,21,0.3127,0.209
21287,66,0.3599,0.1146
21323,29,0.2748,0.1773
21611,76,0.3487,0.1045
22081,111,0.1356,0.092
22112,10,0.4532,0.303
22207,22,0.3355,0.2012
22439,23,0.2949,0.2001
22695,10,0.6553,0.2804
22751,12,0.4448,0.2792
22919,30,0.282,0.1734
23624,34,0.2721,0.1606
24607,12,0.4006,0.2798
24769,22,0.3121,0.2027
24889,55,0.2682,0.1271
24921,26,0.7123,0.1533
25049,14,0.4323,0.2558
25376,102,0.3536,0.0907
25552,1,1.0,1.0
25656,21,0.3005,0.2108
26648,66,0.1984,0.1176
26701,22,0.3278,0.2052
26915,25,0.3353,0.1885
27006,9,0.4619,0.3192
27307,56,0.4544,0.1168
27550,39,0.4829,0.1406
27671,22,0.5838,0.1858
