group_id,n_members
1849,19464
22029,13703
2352,12148
25471,11019
1975,9464
2310,7892
2606,7569
3464,7198
4244,7076
23594,6937
3467,6759
9548,6401
8807,6339
15110,6075
1967,6010
2605,5728
9791,5480
11017,5314
5715,5262
36,5183
2577,5152
2851,5111
2348,5073
2440,5022
2273,4992
4264,4837
534,4823
25871,4631
13828,4576
4927,4569
15027,4550
1460,4526
3817,4499
6843,4464
32087,4428
404,4382
741,4290
7224,4271
3085,4245
5953,4179
2136,4160
2570,4146
17732,4102
16929,4074
8905,4040
4645,4019
38538,3992
5749,3977
6032,3951
29005,3919
4441,3852
3598,3842
17343,3824
9622,3819
6261,3811
6171,3803
23954,3793
504,3782
2284,3780
5495,3729
13376,3712
614,3701
1335,3691
7792,3653
38910,3632
1057,3620
20187,3614
4022,3563
4184,3552
4288,3524
6866,3522
1441,3511
3498,3469
630,3438
7138,3403
45928,3398
2443,3370
621,3334
742,3323
5973,3321
2655,3301
6973,3299
841,3290
547,3283
3603,3281
6284,3268
12105,3268
3442,3246
4893,3223
21977,3221
20007,3209
14922,3208
2974,3205
3010,3183
7853,3182
3773,3161
740,3116
31829,3088
8998,3080
17946,3075
28208,3066
11458,3058
5064,3057
5176,3024
39427,2993
51404,2972
20231,2958
5680,2930
13230,2918
7576,2909
17770,2903
2000,2883
3935,2880
1789,2876
57766,2875
11470,2857
6411,2849
39181,2821
4078,2820
3016,2802
2992,2799
34387,2795
13845,2792
11934,2791
4902,2780
517,2777
14684,2776
13679,2765
2691,2763
3997,2761
20694,2753
9133,2748
883,2747
3700,2744
2807,2742
7766,2732
18521,2725
28042,2719
6336,2702
27170,2700
13368,2681
11493,2675
1617,2667
21648,2657
3220,2642
1670,2632
10498,2632
342,2630
5616,2617
6828,2597
15826,2591
13238,2575
1644,2575
1139,2564
5968,2563
32589,2548
738,2541
3964,2537
35417,2533
24073,2519
3791,2511
30885,2508
3551,2502
1146,2488
54813,2486
50666,2482
18398,2476
8409,2471
4015,2456
29515,2452
35577,2446
8932,2443
6862,2435
1436,2432
9103,2431
28727,2421
5994,2420
3707,2418
29611,2408
1487,2407
2982,2397
3987,2394
1135,2393
9869,2392
169,2383
6506,2380
27234,2364
11278,2353
4263,2342
4658,2342
4013,2342
1154,2332
16878,2322
1488,2321
6462,2319
3422,2319
32088,2313
1439,2311
5042,2311
6882,2297
2947,2292
31500,2291
7112,2290
3484,2266
8630,2263
2033,2261
18433,2254
37,2254
47474,2251
23624,2247
4793,2245
20163,2233
18208,2231
13124,2228
13479,2223
2834,2223
7442,2222
28218,2218
8129,2203
33622,2202
856,2196
1412,2191
2491,2189
5065,2171
3108,2165
1162,2165
2736,2165
25570,2164
6092,2163
41329,2160
880,2156
2039,2154
3858,2151
4958,2149
4055,2146
16461,2145
17173,2136
18407,2136
3000,2136
3146,2133
19758,2126
3856,2109
9998,2104
1055,2103
11613,2100
18485,2090
620,2088
14316,2088
10768,2085
11473,2080
8647,2079
9836,2078
11268,2073
33076,2063
4985,2059
2131,2055
11029,2055
13318,2055
14690,2054
12800,2054
12273,2050
8504,2045
28259,2041
18152,2040
874,2033
8092,2029
11298,2026
2205,2024
13050,2021
3920,2020
10375,2015
12545,2014
20543,2006
889,2005
2986,2005
40383,2004
352,2004
22303,1995
3231,1995
6569,1992
25775,1988
3460,1984
4239,1983
2197,1977
19243,1977
25705,1975
11382,1969
7598,1967
6185,1965
3437,1959
656,1959
1463,1957
14137,1951
850,1950
4581,1949
13231,1947
3089,1943
14036,1940
4818,1936
26504,1935
7993,1931
45483,1931
36290,1928
4860,1926
13952,1925
30004,1923
3847,1921
19400,1918
22899,1917
17285,1917
1547,1915
3418,1914
1469,1911
26317,1910
4996,1910
14407,1908
1593,1897
5844,1896
7358,1895
7920,1894
21958,1894
14996,1894
27266,1893
632,1892
4145,1881
22210,1876
1965,1873
4358,1873
1077,1871
3017,1871
1138,1870
10987,1868
37238,1866
825,1866
5815,1855
3431,1855
13721,1853
13493,1852
15038,1849
13157,1841
1850,1840
10976,1838
44463,1838
406,1836
1669,1834
1367,1833
1913,1833
21375,1832
8061,1830
6486,1825
2141,1825
202,1824
31437,1820
3692,1819
5718,1817
26068,1816
40318,1815
4005,1812
1970,1811
19672,1811
2133,1810
9846,1808
16232,1807
6222,1806
3393,1805
6954,1802
2122,1792
19301,1792
1950,1791
15785,1785
44121,1783
6229,1780
7054,1779
15414,1779
19451,1778
2965,1777
32344,1775
5080,1774
14184,1773
8350,1769
2568,1768
7298,1767
5131,1762
4162,1761
1473,1760
1053,1757
15327,1755
5793,1755
3992,1754
328,1752
16476,1752
861,1749
11730,1747
1468,1746
3497,1745
3682,1745
28007,1743
1064,1740
3180,1740
55508,1738
11047,1737
1497,1736
15684,1734
1496,1734
14706,1732
18720,1729
1655,1720
18379,1717
5251,1717
8161,1716
478,1716
3678,1715
6919,1713
17746,1713
2338,1713
2941,1713
3943,1711
32429,1711
6598,1709
6665,1709
3502,1707
2221,1706
14344,1705
5336,1704
679,1703
7755,1703
9547,1700
2438,1699
4292,1698
28793,1695
49245,1694
18614,1692
8770,1690
6458,1687
5480,1687
7043,1687
14509,1684
4794,1681
10181,1678
10423,1677
3963,1677
4829,1676
7737,1675
36191,1675
8988,1673
25945,1673
32172,1670
9555,1670
7994,1666
10091,1666
4163,1666
3477,1664
2609,1662
2665,1662
6847,1661
31945,1660
598,1660
13133,1659
38778,1659
5196,1658
1060,1656
5601,1655
12913,1654
507,1651
31621,1651
2098,1651
3671,1648
4558,1646
253,1646
578,1644
30071,1641
332,1640
10720,1637
7677,1637
11664,1633
4705,1631
492,1630
2467,1629
53067,1626
37332,1622
16190,1622
8559,1621
2138,1614
1636,1614
3624,1613
13594,1610
249,1609
10,1607
1195,1607
